,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,mfcc41,mfcc42,mfcc43,mfcc44,mfcc45,mfcc46,mfcc47,mfcc48,mfcc49,fname,label
0,-594.02905,38.685047,5.528638,5.631155,3.4028661,1.3217813,-0.9797297,-2.110061,-3.6750107,-1.3182226,-2.6627316,-2.3825533,-3.307837,-1.8691864,-2.3946097,-1.8241484,-2.2183871,-1.1102734,-1.8190987,-1.1540105,-1.8235478,-1.3661234,-1.2972505,-1.2913928,-1.152887,-0.7284684,-0.88484687,-0.26295546,-0.7813841,-0.4412346,-0.5362835,-0.061685976,-0.20852813,0.16208072,-0.21473062,-0.1663314,0.28109545,0.42843717,0.13874604,0.34052742,0.062218282,0.70645756,0.57488465,0.31408146,0.13994381,0.104878575,0.105028726,0.27701768,-0.065550394,0.11803815,set_a/artifact__201012172012.wav,artifact
1,-750.8335,29.68586,-4.5077586,-2.4703112,-4.913468,-1.4281278,-1.8647666,0.22508991,-4.2112145,0.17551178,-5.3447056,0.8721737,-3.9027476,1.0357835,-3.6083097,0.42283705,-3.4018712,0.9984987,-2.479218,1.0620183,-1.974471,1.8748035,-1.6294644,1.9574147,-2.132079,1.504946,-1.907382,1.6398242,-1.4934608,1.4687314,-1.1656542,2.1978958,-0.6012861,2.0252943,-1.3736951,0.8413533,-1.7712044,1.2920204,-0.84589773,1.5643113,-0.89474225,1.1898214,-0.79368156,1.5928186,-0.7512067,1.2417953,-1.067852,1.0845897,-0.78008795,1.1352416,set_a/artifact__201105040918.wav,artifact
2,-559.3622,35.35122,-13.1190195,-3.8542626,-10.170296,-2.961954,-8.500693,0.070704155,-6.701177,-0.19990017,-6.8028793,0.7133316,-5.390546,1.7639292,-4.2359776,2.0433612,-3.8468113,2.0970213,-3.5962074,1.2344238,-3.4009016,0.8839373,-2.8118927,1.836731,-1.547961,2.9459534,-1.8908114,1.5679736,-2.331125,2.5687299,-1.895142,3.228681,-1.2506791,1.4917673,-1.6432235,1.0910773,-1.3282588,1.7323709,-1.3349667,1.5830674,-1.28635,1.8811718,-1.6329726,2.0544713,-1.3483322,1.8885992,-1.2761056,1.3032324,-0.78475577,1.1536238,set_a/artifact__201105041959.wav,artifact
3,-293.34302,103.457886,-13.003966,19.64719,-14.164202,-3.8869312,-15.286445,-4.694386,-8.967902,-7.757905,-10.521425,-4.366157,-8.531111,-1.690072,-5.194414,-1.6879839,-5.986875,-0.07529622,-5.4170218,-0.2836739,-5.1613374,-0.4216433,-3.385418,1.448529,-1.7391632,1.4462725,-2.9446688,2.0959318,-1.9479854,2.0952835,-0.49890652,2.518328,-0.22624238,3.7168167,1.1773326,3.0098298,-0.46131384,2.061785,-1.7923352,1.8036454,-0.14576541,4.0673575,0.85383356,3.6888402,0.80386484,2.5278687,-0.5734659,1.8774911,-1.0144688,1.8538017,set_a/artifact__201105051017.wav,artifact
4,-291.52417,95.69324,-11.997632,8.995483,-4.2940984,2.2639973,-8.406081,-6.3541746,-8.621305,-3.3865669,-10.900212,-7.7189803,-7.3104877,-1.1630872,-8.452893,-5.5732336,-7.350814,-2.0802286,-3.4875078,-0.06370596,-1.934089,-0.9001523,-3.03687,1.1735426,-2.845128,-0.0978353,-2.3688974,1.56724,-1.5142674,0.4396275,-0.86519015,2.3532898,-0.8947776,1.9825784,-0.29474884,1.1857747,-2.1835973,1.3569568,0.59060186,1.0137018,-2.253208,-0.35656127,-0.22285429,2.1291146,-0.27755833,1.8363218,0.24503352,2.1294744,-0.8985211,0.87615275,set_a/artifact__201105060108.wav,artifact
5,-645.03156,49.121986,-17.144514,15.183243,1.7882261,6.167754,-2.7734876,5.258871,-4.1564593,0.8058454,-3.3907897,-0.53808856,-4.716518,-1.0781506,-3.6929522,-2.2532632,-6.206918,-4.604229,-4.228775,-1.4994082,-3.864709,-1.117796,-2.883062,0.15130869,-0.9929298,1.7263638,-2.1055226,0.2844295,-1.7502003,0.32972622,-0.92412066,1.4926463,-1.2006605,0.4551045,-0.27593547,1.032812,-0.43287635,0.6151232,-0.9340037,1.4205775,-0.83825344,0.38299415,0.10026009,1.1983438,-0.2822489,1.4314749,0.34107432,0.68943983,-0.13354038,1.7086921,set_a/artifact__201105061143.wav,artifact
6,-530.6467,60.786606,-23.651714,5.8874507,-5.4406266,-0.9154351,-10.565859,-2.1362917,-7.178317,-4.204742,-7.7450404,-0.2427882,-3.5071442,-0.31270984,-2.2573426,1.3836802,-4.036073,-0.24354437,-1.8775262,0.69712114,-2.471318,1.1724218,-2.266272,1.0577692,-1.6320282,1.456425,-1.3320214,2.1547143,-1.0282764,0.9090475,-1.3213491,1.565928,-1.0361212,2.0261636,-1.0604894,1.3785672,-0.6720808,2.019984,-0.70282406,1.6681455,-0.8796652,0.82176226,-1.0186565,1.8293359,-0.800107,1.1865628,-0.80647063,1.192538,-0.8117208,0.7742041,set_a/artifact__201105190800.wav,artifact
7,-261.32373,119.34558,-2.3515027,36.669216,-6.3523655,7.315008,8.08267,-5.234267,0.00343543,1.6023731,-6.8081627,-2.2414923,-5.050651,-4.925387,-4.0535183,-6.123007,-4.763217,-2.8344016,-6.034386,-2.7379985,-3.5823963,-3.752426,-3.67871,-2.4080234,-2.9365926,-0.82223886,-1.6793507,-1.5975124,-2.86542,-1.0863714,-2.738551,-1.4410716,-1.3022248,-1.0003617,-1.3967247,-0.5453071,-2.0858414,-0.13448702,-0.92100483,-0.8062104,-1.1669471,-0.5370244,-1.0807247,-0.26869884,-0.91955245,0.52196026,-0.7507469,0.40251312,-0.32969505,-0.2851771,set_a/artifact__201105280851.wav,artifact
8,-370.42352,80.34154,-3.3944266,11.3633175,-15.24561,2.2706056,-18.410574,-4.021154,-14.205414,-7.030145,-8.800054,-2.5058935,-4.2569494,-1.4931408,-3.9110627,0.05827772,-6.0227137,-1.580173,-4.771435,0.11163279,-2.3001873,0.7023056,-0.8327635,2.7099445,-0.056763757,2.7479575,-1.3599163,2.6469815,-0.5578577,2.1013763,-0.8477886,1.4141537,-1.9395913,1.663108,-1.20978,1.3384286,-1.9469444,0.7996513,-1.4050946,1.1336066,-0.67377144,1.7629094,-0.038575083,2.5578787,0.99317414,3.2847912,0.41335934,2.052791,0.045815047,1.9232659,set_a/artifact__201106010559.wav,artifact
9,88.36083,38.93526,-26.960474,14.106846,-10.827707,1.9113351,-7.9352474,0.7762484,-8.318104,-0.79469836,-3.4830174,1.4202658,-3.2234359,2.2599545,-1.8325934,0.33848795,-4.212101,0.16906998,-4.448815,0.7994606,-2.7481663,0.8560693,-2.5011706,1.2588162,-1.9620348,1.348104,-3.1559753,1.6153772,-1.837297,1.3811822,-1.9856901,1.1004955,-1.7731696,1.7687165,-2.504717,0.72417295,-1.5544447,1.3753269,-2.181979,1.1236116,-1.7078856,1.3038365,-1.4336622,1.7230368,-1.4743216,1.3776795,-0.8535441,1.6296966,-1.1673342,1.4171162,set_a/artifact__201106010602.wav,artifact
10,-501.80774,54.674015,-4.7134,-5.15039,-10.611847,2.9041731,0.7771899,-0.06141993,-9.889502,-3.7488441,-2.334743,-0.40851387,-3.2000656,-1.3526534,-2.9927638,-2.5791457,-3.0225496,-0.22008064,-1.7795657,-0.5535569,-1.5999347,0.9217004,-0.18340498,1.0419225,0.020522757,2.0091116,-0.07164076,0.35087472,-1.7333736,-0.44172952,-1.3142449,0.21611397,1.2035025,3.7595956,2.0281365,1.9391648,0.31320095,1.2358168,0.4605821,1.2487888,-0.3583896,1.0114125,0.71635383,2.4805593,0.5003633,1.8735411,1.3232197,1.3046719,-0.7498039,-0.27391985,set_a/artifact__201106021541.wav,artifact
11,-498.65915,76.47405,-5.2441945,-4.1380444,-0.20948698,0.6421519,-1.5503578,-1.6483611,-4.2487826,-3.0549366,-3.231398,-2.7719002,-3.4442825,-1.9628167,-3.0208395,-3.5564375,-4.1102633,-2.6922963,-2.8409781,-1.3085763,-1.6692357,-1.0200177,-1.3780107,-0.6881941,-1.3573712,-0.5985554,-1.0695456,-0.3711853,-0.97709465,-0.38494885,-0.91507083,-0.1367257,-0.52400315,-0.04842595,-0.8368397,0.004984079,-0.555343,-0.061768137,-0.23868206,0.46777147,0.17893432,0.70695376,-0.30344883,0.02580762,0.062009238,0.5110186,-0.4314676,0.19314432,0.16305615,0.39659527,set_a/artifact__201106030612.wav,artifact
